Nb_of_games_learned ; Nb_of_games_test ; Agent_game_won ; Random_game_won ; Recognized_states ; Total_states
4600 ; 1000 ; 628 ; 268 ; 5596 ; 24000
2000 ; 1000 ; 573 ; 309 ; 4453 ; 24000
2000 ; 1000 ; 581 ; 317 ; 4578 ; 24000
2000 ; 1000 ; 597 ; 319 ; 4414 ; 24000
2000 ; 1000 ; 588 ; 291 ; 4605 ; 24000
2000 ; 1000 ; 577 ; 327 ; 4373 ; 24000
2000 ; 1000 ; 583 ; 323 ; 4582 ; 24000
2000 ; 1000 ; 547 ; 282 ; 4386 ; 24000
2000 ; 1000 ; 565 ; 318 ; 4536 ; 24000
2000 ; 1000 ; 587 ; 283 ; 4473 ; 24000
2000 ; 1000 ; 590 ; 298 ; 4534 ; 24000
2000 ; 1000 ; 575 ; 295 ; 4401 ; 24000
2000 ; 1000 ; 599 ; 284 ; 4688 ; 24000
2000 ; 1000 ; 578 ; 315 ; 4380 ; 24000
2000 ; 1000 ; 592 ; 300 ; 4610 ; 24000
200 ; 1000 ; 447 ; 303 ; 1943 ; 24000
2000 ; 1000 ; 598 ; 298 ; 4629 ; 24000
200 ; 1000 ; 397 ; 301 ; 1878 ; 24000
2000 ; 1000 ; 580 ; 269 ; 4540 ; 24000
200 ; 1000 ; 425 ; 313 ; 1879 ; 24000
2000 ; 1000 ; 588 ; 327 ; 4466 ; 24000
200 ; 1000 ; 425 ; 306 ; 1950 ; 24000
200 ; 1000 ; 391 ; 332 ; 1821 ; 24000
200 ; 1000 ; 383 ; 300 ; 1860 ; 24000
200 ; 1000 ; 383 ; 307 ; 1833 ; 24000
200 ; 1000 ; 389 ; 330 ; 1872 ; 24000
200 ; 1000 ; 364 ; 267 ; 1921 ; 24000
200 ; 1000 ; 387 ; 304 ; 1805 ; 24000
200 ; 1000 ; 388 ; 299 ; 1843 ; 24000
200 ; 1000 ; 420 ; 305 ; 1957 ; 24000
200 ; 1000 ; 415 ; 293 ; 1910 ; 24000
200 ; 1000 ; 379 ; 269 ; 1904 ; 24000
200 ; 1000 ; 370 ; 298 ; 1833 ; 24000
200 ; 1000 ; 364 ; 316 ; 1832 ; 24000
200 ; 1000 ; 376 ; 281 ; 1805 ; 24000
3800 ; 1000 ; 615 ; 290 ; 5407 ; 24000
200 ; 1000 ; 387 ; 290 ; 1851 ; 24000
3800 ; 1000 ; 619 ; 298 ; 5415 ; 24000
200 ; 1000 ; 374 ; 272 ; 1854 ; 24000
3800 ; 1000 ; 638 ; 317 ; 5472 ; 24000
200 ; 1000 ; 404 ; 259 ; 1866 ; 24000
3800 ; 1000 ; 673 ; 301 ; 5517 ; 24000
3800 ; 1000 ; 641 ; 318 ; 5492 ; 24000
3800 ; 1000 ; 638 ; 298 ; 5457 ; 24000
3800 ; 1000 ; 658 ; 293 ; 5463 ; 24000
3800 ; 1000 ; 633 ; 291 ; 5433 ; 24000
3800 ; 1000 ; 628 ; 303 ; 5278 ; 24000
3800 ; 1000 ; 642 ; 284 ; 5449 ; 24000
3800 ; 1000 ; 630 ; 294 ; 5419 ; 24000
3800 ; 1000 ; 638 ; 297 ; 5420 ; 24000
3800 ; 1000 ; 624 ; 292 ; 5550 ; 24000
3800 ; 1000 ; 645 ; 325 ; 5370 ; 24000
3800 ; 1000 ; 635 ; 291 ; 5431 ; 24000
3800 ; 1000 ; 630 ; 284 ; 5585 ; 24000
2800 ; 1000 ; 579 ; 312 ; 4934 ; 24000
3800 ; 1000 ; 664 ; 281 ; 5659 ; 24000
2800 ; 1000 ; 601 ; 304 ; 5031 ; 24000
3800 ; 1000 ; 650 ; 332 ; 5536 ; 24000
2800 ; 1000 ; 613 ; 262 ; 5046 ; 24000
3800 ; 1000 ; 647 ; 297 ; 5468 ; 24000
2800 ; 1000 ; 605 ; 323 ; 5088 ; 24000
