Nb_of_games_learned ; Nb_of_games_test ; Agent_game_won ; Random_game_won ; Recognized_states ; Total_states
196000 ; 1000 ; 827 ; 300 ; 13960 ; 24000
74000 ; 1000 ; 846 ; 314 ; 13103 ; 24000
196000 ; 1000 ; 847 ; 334 ; 14042 ; 24000
74000 ; 1000 ; 841 ; 316 ; 13156 ; 24000
196000 ; 1000 ; 856 ; 327 ; 14099 ; 24000
74000 ; 1000 ; 831 ; 308 ; 13074 ; 24000
196000 ; 1000 ; 834 ; 295 ; 14012 ; 24000
196000 ; 1000 ; 840 ; 300 ; 13987 ; 24000
314000 ; 1000 ; 871 ; 292 ; 14752 ; 24000
196000 ; 1000 ; 837 ; 333 ; 14029 ; 24000
314000 ; 1000 ; 863 ; 303 ; 14689 ; 24000
196000 ; 1000 ; 833 ; 315 ; 13842 ; 24000
314000 ; 1000 ; 859 ; 301 ; 14675 ; 24000
314000 ; 1000 ; 873 ; 300 ; 14638 ; 24000
314000 ; 1000 ; 861 ; 306 ; 14633 ; 24000
154000 ; 1000 ; 846 ; 302 ; 13797 ; 24000
314000 ; 1000 ; 848 ; 311 ; 14551 ; 24000
154000 ; 1000 ; 848 ; 313 ; 13827 ; 24000
314000 ; 1000 ; 864 ; 328 ; 14629 ; 24000
154000 ; 1000 ; 835 ; 307 ; 13814 ; 24000
314000 ; 1000 ; 859 ; 309 ; 14612 ; 24000
154000 ; 1000 ; 831 ; 269 ; 13759 ; 24000
314000 ; 1000 ; 868 ; 306 ; 14624 ; 24000
154000 ; 1000 ; 853 ; 307 ; 13665 ; 24000
314000 ; 1000 ; 846 ; 304 ; 14591 ; 24000
154000 ; 1000 ; 823 ; 305 ; 13788 ; 24000
154000 ; 1000 ; 845 ; 301 ; 13694 ; 24000
200000 ; 1000 ; 857 ; 316 ; 14057 ; 24000
154000 ; 1000 ; 825 ; 316 ; 13759 ; 24000
200000 ; 1000 ; 851 ; 304 ; 13965 ; 24000
154000 ; 1000 ; 834 ; 321 ; 13726 ; 24000
200000 ; 1000 ; 844 ; 294 ; 14159 ; 24000
154000 ; 1000 ; 864 ; 294 ; 13892 ; 24000
200000 ; 1000 ; 852 ; 329 ; 14040 ; 24000
200000 ; 1000 ; 857 ; 314 ; 14050 ; 24000
174000 ; 1000 ; 865 ; 298 ; 14051 ; 24000
200000 ; 1000 ; 857 ; 305 ; 14118 ; 24000
200000 ; 1000 ; 850 ; 280 ; 14152 ; 24000
174000 ; 1000 ; 835 ; 280 ; 13881 ; 24000
200000 ; 1000 ; 831 ; 287 ; 14039 ; 24000
174000 ; 1000 ; 852 ; 318 ; 13953 ; 24000
200000 ; 1000 ; 853 ; 309 ; 14130 ; 24000
174000 ; 1000 ; 830 ; 303 ; 13881 ; 24000
200000 ; 1000 ; 860 ; 324 ; 14096 ; 24000
174000 ; 1000 ; 842 ; 306 ; 13728 ; 24000
174000 ; 1000 ; 827 ; 278 ; 13773 ; 24000
174000 ; 1000 ; 850 ; 337 ; 13831 ; 24000
364000 ; 1000 ; 835 ; 310 ; 14701 ; 24000
174000 ; 1000 ; 846 ; 304 ; 14015 ; 24000
364000 ; 1000 ; 863 ; 327 ; 14840 ; 24000
174000 ; 1000 ; 855 ; 315 ; 14003 ; 24000
364000 ; 1000 ; 848 ; 296 ; 14803 ; 24000
174000 ; 1000 ; 844 ; 317 ; 13894 ; 24000
364000 ; 1000 ; 878 ; 294 ; 14800 ; 24000
364000 ; 1000 ; 855 ; 298 ; 14842 ; 24000
102000 ; 1000 ; 840 ; 294 ; 13339 ; 24000
364000 ; 1000 ; 852 ; 313 ; 14740 ; 24000
364000 ; 1000 ; 854 ; 307 ; 14821 ; 24000
102000 ; 1000 ; 843 ; 316 ; 13378 ; 24000
364000 ; 1000 ; 840 ; 326 ; 14657 ; 24000
102000 ; 1000 ; 834 ; 308 ; 13449 ; 24000
364000 ; 1000 ; 862 ; 302 ; 14775 ; 24000
102000 ; 1000 ; 853 ; 305 ; 13513 ; 24000
364000 ; 1000 ; 868 ; 305 ; 14871 ; 24000
102000 ; 1000 ; 832 ; 297 ; 13400 ; 24000
102000 ; 1000 ; 824 ; 294 ; 13312 ; 24000
102000 ; 1000 ; 855 ; 315 ; 13530 ; 24000
306000 ; 1000 ; 842 ; 289 ; 14601 ; 24000
102000 ; 1000 ; 852 ; 276 ; 13351 ; 24000
306000 ; 1000 ; 854 ; 316 ; 14637 ; 24000
102000 ; 1000 ; 851 ; 318 ; 13367 ; 24000
306000 ; 1000 ; 833 ; 310 ; 14533 ; 24000
102000 ; 1000 ; 827 ; 313 ; 13383 ; 24000
306000 ; 1000 ; 847 ; 311 ; 14586 ; 24000
306000 ; 1000 ; 860 ; 311 ; 14485 ; 24000
306000 ; 1000 ; 841 ; 275 ; 14645 ; 24000
306000 ; 1000 ; 863 ; 301 ; 14678 ; 24000
306000 ; 1000 ; 865 ; 293 ; 14608 ; 24000
306000 ; 1000 ; 864 ; 332 ; 14475 ; 24000
306000 ; 1000 ; 832 ; 284 ; 14474 ; 24000
1274000 ; 1000 ; 862 ; 312 ; 16416 ; 24000
272000 ; 1000 ; 846 ; 285 ; 14434 ; 24000
1274000 ; 1000 ; 845 ; 297 ; 16253 ; 24000
272000 ; 1000 ; 853 ; 291 ; 14458 ; 24000
332000 ; 1000 ; 849 ; 306 ; 14300 ; 24000
1274000 ; 1000 ; 830 ; 314 ; 16455 ; 24000
332000 ; 1000 ; 863 ; 286 ; 14375 ; 24000
272000 ; 1000 ; 849 ; 300 ; 14370 ; 24000
332000 ; 1000 ; 841 ; 319 ; 14309 ; 24000
332000 ; 1000 ; 871 ; 319 ; 14496 ; 24000
272000 ; 1000 ; 854 ; 296 ; 14460 ; 24000
1274000 ; 1000 ; 858 ; 323 ; 16345 ; 24000
332000 ; 1000 ; 834 ; 287 ; 14189 ; 24000
332000 ; 1000 ; 873 ; 300 ; 14339 ; 24000
